name,state,population,latitude,longitude,display_photo
Fresno,California,494665,36.7468422,-119.7725868,upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Downtownfresnoskyline.jpg/320px-Downtownfresnoskyline.jpg
Sacramento,California,466488,38.5815719,-121.4943996,upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Sacramento_Riverfront.jpg/320px-Sacramento_Riverfront.jpg
Long Beach,California,462257,33.768321,-118.1956168,upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Long_Beach%2C_CA_at_night.jpg/320px-Long_Beach%2C_CA_at_night.jpg
Kansas City,Missouri,459787,39.0997265,-94.5785667,upload.wikimedia.org/wikipedia/commons/thumb/3/37/Kansas_City_MO_Skyline_14July2008v.jpg/320px-Kansas_City_MO_Skyline_14July2008v.jpg
Mesa,Arizona,439041,33.4151843,-111.8314724,upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Downtown_Mesa_Arizona.jpg/320px-Downtown_Mesa_Arizona.jpg
Virginia Beach,Virginia,437994,36.8529263,-75.977985,upload.wikimedia.org/wikipedia/commons/thumb/a/a3/VA_Beach_Town_Center.jpg/320px-VA_Beach_Town_Center.jpg
Atlanta,Georgia,420003,33.7489954,-84.3879824,upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Atlanta_Skyline_from_Buckhead.jpg/320px-Atlanta_Skyline_from_Buckhead.jpg
Colorado Springs,Colorado,416427,38.8338816,-104.8213634,upload.wikimedia.org/wikipedia/commons/thumb/4/45/CC_COSPRINGS.jpg/320px-CC_COSPRINGS.jpg
Omaha,Nebraska,408958,41.2523634,-95.9979883,upload.wikimedia.org/wikipedia/commons/thumb/2/24/Omaha%2C_Nebraska%2C_USA_2008.jpg/320px-Omaha%2C_Nebraska%2C_USA_2008.jpg
Raleigh,North Carolina,403892,35.772096,-78.6386145,upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Downtown-Raleigh-from-Western-Boulevard-Overpass-20081012.jpeg/320px-Downtown-Raleigh-from-Western-Boulevard-Overpass-20081012.jpeg
Miami,Florida,399457,25.7889689,-80.2264393,upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Downtown_Miami_skyline_May_2011.jpg/320px-Downtown_Miami_skyline_May_2011.jpg
